RW1,1,B
RW1,2,A
RW1,3,C
RW1,4,C
RW1,5,C
RW1,6,B
RW1,7,C
RW1,8,B
RW1,9,D
RW1,10,D
RW1,11,B
RW1,12,B
RW1,13,C
RW1,14,A
RW1,15,C
RW1,16,D
RW1,17,B
RW1,18,A
RW1,19,D
RW1,20,B
RW1,21,A
RW1,22,B
RW1,23,D
RW1,24,A
RW1,25,B
RW1,26,D
RW1,27,B
RW2,1,В
RW2,2,В
RW2,З,В
RW2,4,А
RW2,5,А
RW2,6,С
RW2,7,В
RW2,8,А
RW2,9,В
RW2,10,В
RW2,11,В
RW2,12,В
RW2,13,В
RW2,14,A
RW2,15,A
RW2,16,A
RW2,17,D
RW2,18,B
RW2,19,A
RW2,20,A
RW2,21,D
RW2,22,B
RW2,23,A
RW2,24,C
RW2,25,B
RW2,26,C
RW2,27,B
MATH1,1,B
MATH1,2,24
MATH1,3,D
MATH1,4,D
MATH1,5,缺题
MATH1,6,C
MATH1,7,C
MATH1,8,D
MATH1,9,64
MATH1,10,A
MATH1,11,4
MATH1,12,C
MATH1,13,B
MATH1,14,缺题
MATH1,15,B
MATH1,16,C
MATH1,17,缺题
MATH1,18,A
MATH1,19,48
MATH1,20,B
MATH1,21,349.2
MATH1,22,9
MATH2,1,C
MATH2,2,C
MATH2,3,C
MATH2,4,B
MATH2,5,C
MATH2,6,C
MATH2,7,A
MATH2,8,B
MATH2,9,392
MATH2,10,A
MATH2,11,D
MATH2,12,D
MATH2,13,A
MATH2,14,9
MATH2,15,B
MATH2,16,A
MATH2,17,B
MATH2,18,-7
MATH2,19,D
MATH2,20,D
MATH2,21,179
MATH2,22,638
