RW1,1,B
RW1,2,A
RW1,3,B
RW1,4,C
RW1,5,B
RW1,6,D
RW1,7,D
RW1,8,A
RW1,9,D
RW1,10,D
RW1,11,C
RW1,12,A
RW1,13,A
RW1,14,D
RW1,15,C
RW1,16,C
RW1,17,A
RW1,18,D
RW1,19,C
RW1,20,B
RW1,21,D
RW1,22,B
RW1,23,D
RW1,24,D
RW1,25,B
RW1,26,C
RW1,27,A
RW2,1,A
RW2,2,A
RW2,3,D
RW2,4,A
RW2,S,A
RW2,6,A
RW2,7,C
RW2,8,C
RW2,9,A
RW2,10,D
RW2,11,C
RW2,12,D
RW2,13,D
RW2,14,B
RW2,15,D
RW2,16,B
RW2,17,C
RW2,18,C
RW2,19,D
RW2,20,A
RW2,21,A
RW2,22,A
RW2,23,A
RW2,24,C
RW2,25,C
RW2,26,B
RW2,27,C
MATH1,1,A
MATH1,2,7
MATH1,3,A
MATH1,4,D
MATH1,5,C
MATH1,6,C
MATH1,7,C
MATH1,8,13
MATH1,9,B
MATH1,10,15.6
MATH1,11,D
MATH1,12,C
MATH1,13,D
MATH1,14,D
MATH1,15,D
MATH1,16,545
MATH1,17,A
MATH1,18,B
MATH1,19,A
MATH1,20,B
MATH1,21,4.8
MATH1,22,B
MATH2,1,D
MATH2,2,18
MATH2,3,D
MATH2,4,D
MATH2,5,B
MATH2,6,A
MATH2,7,B
MATH2,8,"13/5, 2.6"
MATH2,9,B
MATH2,10,B
MATH2,11,-36
MATH2,12,26481
MATH2,13,C
MATH2,14,32
MATH2,15,B
MATH2,16,A
MATH2,17,B
MATH2,18,A
MATH2,19,C
MATH2,20,A
MATH2,21,28.2
MATH2,22,C
