RW1,1,B
RW1,2,C
RW1,3,C
RW1,4,C
RW1,5,A
RW1,6,B
RW1,7,C
RW1,8,C
RW1,9,B
RW1,10,C
RW1,11,A
RW1,12,B
RW1,13,A
RW1,14,B
RW1,15,B
RW1,16,C
RW1,17,A
RW1,18,B
RW1,19,D
RW1,20,B
RW1,21,C
RW1,22,B
RW1,23,B
RW1,24,C
RW1,25,D
RW1,26,C
RW1,27,B
RW2,1,A
RW2,2,C
RW2,3,C
RW2,4,D
RW2,5,C
RW2,6,C
RW2,7,A
RW2,8,D
RW2,9,D
RW2,10,C
RW2,11,D
RW2,12,A
RW2,13,C
RW2,14,D
RW2,15,A
RW2,16,C
RW2,17,B
RW2,18,D
RW2,19,C
RW2,20,D
RW2,21,D
RW2,22,B
RW2,23,B
RW2,24,B
RW2,25,D
RW2,26,A
RW2,27,D
MATH1,1,D
MATH1,2,156
MATH1,3,A
MATH1,4,D
MATH1,5,C
MATH1,6,21
MATH1,7,4.25
MATH1,8,D
MATH1,9,A
MATH1,10,C
MATH1,11,46216
MATH1,12,B
MATH1,13,A
MATH1,14,C
MATH1,15,5.5
MATH1,16,B
MATH1,17,B
MATH1,18,32
MATH1,19,C
MATH1,20,A
MATH1,21,768
MATH1,22,D
MATH2,1,C
MATH2,2,D
MATH2,3,D
MATH2,4,10
MATH2,5,B
MATH2,6,B
MATH2,7,A
MATH2,8,C
MATH2,9,B
MATH2,10,D
MATH2,11,C
MATH2,12,B
MATH2,13,-54
MATH2,14,A
MATH2,15,A
MATH2,16,C
MATH2,17,D
MATH2,18,A
MATH2,19,C
MATH2,20,D
MATH2,21,9216
MATH2,22,287
